propositions,clauses,result,DPLL calls,L/N ratio,solve time
10,30,True,9,3.0,0.0009980201721191406
12,36,True,32,3.0,0.0
14,42,False,292,3.0,0.024255752563476562
16,48,True,13,3.0,0.0009458065032958984
18,54,True,101,3.0,0.007006168365478516
20,60,True,159,3.0,0.01870107650756836
22,66,True,823,3.0,0.04354143142700195
24,72,True,205,3.0,0.010997772216796875
26,78,True,309,3.0,0.03322339057922363
28,84,True,341,3.0,0.03149127960205078
30,90,True,334,3.0,0.04441666603088379
32,96,True,1396,3.0,0.16451692581176758
34,102,True,31970,3.0,3.523665428161621
36,108,True,7790,3.0,0.7663404941558838
38,114,True,88,3.0,0.015579462051391602
40,120,True,15272,3.0,2.2181942462921143
42,126,True,29991,3.0,5.850399017333984
44,132,True,11575,3.0,1.5671815872192383
46,138,True,20280,3.0,3.2915093898773193
48,144,True,192641,3.0,25.808290004730225
50,150,True,137401,3.0,16.02966856956482
52,156,True,212838,3.0,39.01635527610779
54,162,True,1987664,3.0,308.9660873413086
10,32,True,28,3.2,0.0
12,38,True,11,3.2,0.0
14,44,True,156,3.2,0.013723611831665039
16,51,True,200,3.2,0.017145395278930664
18,57,True,232,3.2,0.016423702239990234
20,64,True,38,3.2,0.0
22,70,True,1388,3.2,0.12783312797546387
24,76,True,213,3.2,0.01667046546936035
26,83,True,1697,3.2,0.15470457077026367
28,89,True,1964,3.2,0.2998976707458496
30,96,True,2307,3.2,0.18762993812561035
32,102,True,194,3.2,0.018691301345825195
34,108,True,2014,3.2,0.15942931175231934
36,115,True,31046,3.2,3.992224931716919
38,121,True,2674,3.2,0.5499238967895508
40,128,True,14220,3.2,1.7980482578277588
42,134,True,308124,3.2,26.912200689315796
44,140,True,162641,3.2,19.09905505180359
46,147,True,7138,3.2,0.8665602207183838
48,153,True,14945,3.2,2.7500452995300293
50,160,True,182874,3.2,36.21644043922424
52,166,True,4846502,3.2,782.4359333515167
10,34,True,13,3.4,0.0
12,40,True,11,3.4,0.001007080078125
14,47,True,31,3.4,0.00232696533203125
16,54,True,43,3.4,0.0
18,61,True,20,3.4,0.0
20,68,True,966,3.4,0.09854507446289062
22,74,True,289,3.4,0.016407489776611328
24,81,True,399,3.4,0.03349661827087402
26,88,True,1457,3.4,0.16717863082885742
28,95,True,3297,3.4,0.2750742435455322
30,102,True,11255,3.4,1.5080811977386475
32,108,True,197,3.4,0.012514114379882812
34,115,True,10491,3.4,1.2876193523406982
36,122,True,40413,3.4,5.741071462631226
38,129,True,2117,3.4,0.21521258354187012
40,136,True,537068,3.4,93.51961159706116
10,36,True,19,3.6,0.0
12,43,True,11,3.6,0.0
14,50,True,33,3.6,0.0
16,57,True,116,3.6,0.0
18,64,True,57,3.6,0.0
20,72,False,753,3.6,0.09903788566589355
22,79,True,1110,3.6,0.11660885810852051
24,86,True,370,3.6,0.038599252700805664
26,93,True,195,3.6,0.012502670288085938
28,100,True,108,3.6,0.00118255615234375
30,108,True,6152,3.6,0.9337716102600098
32,115,True,5498,3.6,0.700347900390625
34,122,False,73678,3.6,12.84984827041626
36,129,True,37064,3.6,6.092089414596558
38,136,True,31382,3.6,5.333326578140259
40,144,True,15908,3.6,3.3196229934692383
42,151,True,11260,3.6,2.031630516052246
44,158,True,66054,3.6,14.083120822906494
46,165,True,6355892,3.6,1283.65958237648
10,38,True,14,3.8,0.0
12,45,True,13,3.8,0.0
14,53,True,35,3.8,0.0023643970489501953
16,60,True,197,3.8,0.026784658432006836
18,68,False,846,3.8,0.0852973461151123
20,76,True,689,3.8,0.07788705825805664
22,83,True,196,3.8,0.016675472259521484
24,91,False,4173,3.8,0.6475214958190918
26,98,True,2326,3.8,0.350665807723999
