propositions,clauses,result,DPLL calls,L/N ratio,solve time
50,150,True,55,3.0,0.05257463455200195
53,159,True,123,3.0,0.07084417343139648
56,168,True,56,3.0,0.03408932685852051
59,177,True,58,3.0,0.07335901260375977
62,186,True,80,3.0,0.04748201370239258
65,195,True,130,3.0,0.09997868537902832
68,204,True,153,3.0,0.17527508735656738
71,213,True,67,3.0,0.07242321968078613
74,222,True,65,3.0,0.06338882446289062
77,231,True,108,3.0,0.09273386001586914
80,240,True,836,3.0,0.899573802947998
83,249,True,11811,3.0,22.842806577682495
86,258,True,377,3.0,0.25422191619873047
89,267,True,330,3.0,0.2728145122528076
92,276,True,80,3.0,0.07191228866577148
95,285,True,90,3.0,0.2953617572784424
98,294,True,320,3.0,0.34036850929260254
101,303,True,820,3.0,0.7895338535308838
104,312,True,99,3.0,0.11540722846984863
107,321,True,283,3.0,0.5500876903533936
110,330,True,229,3.0,0.2320249080657959
113,339,True,115,3.0,0.13080072402954102
116,348,True,954,3.0,1.2069640159606934
119,357,True,4218,3.0,4.81473970413208
122,366,True,195,3.0,0.21663379669189453
125,375,True,11560,3.0,12.278796672821045
128,384,True,317,3.0,0.29998159408569336
131,393,True,368,3.0,0.4380984306335449
134,402,True,2715,3.0,2.0816216468811035
137,411,True,124,3.0,0.1793973445892334
140,420,True,130,3.0,0.4100813865661621
143,429,True,5692,3.0,7.20121693611145
146,438,True,558,3.0,0.728823184967041
149,447,True,139,3.0,0.4301118850708008
152,456,True,6621,3.0,8.946104049682617
155,465,True,344,3.0,0.7462379932403564
158,474,True,2990,3.0,3.8804354667663574
161,483,True,1319,3.0,1.3291678428649902
164,492,True,179,3.0,0.2716050148010254
167,501,True,180,3.0,0.26685619354248047
170,510,True,4896,3.0,7.974877119064331
173,519,True,178,3.0,0.28661656379699707
176,528,True,163,3.0,0.2862508296966553
179,537,True,166,3.0,0.3018684387207031
182,546,True,178,3.0,0.5694823265075684
177,531,True,12116,3.0,16.768852949142456
180,540,True,168,3.0,0.3006703853607178
